"id_vivienda","area_total","pisos","habitaciones","precio_uf","estaciona","bodega","antiguedad","tipo_vivienda","nombre_propiedad","descripcion","condicion","tipo_operacion","banos","area_construida","latitud","longitud","ubicacion","tipo_subsidio","fecha_creacion","links_contacto","id_vecindario","id_comuna","id_ciudad","id_region"
"MLC1505186759","129","","3","2894.73684210526","","","","1","Casa 3d-1b Venta Puente Alto","Los Jardines 1877, Puente Alto, Chile","Usado","false","1","65","-33.5735921","-70.5605949","0101000020E61000007B736EC9E0A351C03A5F47776BC940C0","","2024-11-08 19:02:34.675983","[""https://casa.mercadolibre.cl/MLC-1505186759-casa-3d-1b-venta-puente-alto-_JM""]","29","3","3","1"
"MLC1536789351","210","","4","36.8421052631579","","","","1","Rebajada. Se Arrienda Bella Casa En Las Vizcachas","C. E 0310","Usado","true","3","483.5","-33.6004104","-70.509003","0101000020E610000038A4518193A051C0D2167C3FDACC40C0","","2024-11-08 19:02:35.463708","[""https://casa.mercadolibre.cl/MLC-1536789351-rebajada-se-arrienda-bella-casa-en-las-vizcachas-_JM""]","28","3","3","1"
"MLC1517547171","58","","3","2220","","","","0","Departamento En Tercer Piso, Cuenta Con 3d-1b Y Box. ","Pie Andino 2726","Usado","false","1","58","-33.5894434","-70.5514303","0101000020E6100000812150A24AA351C0E9EB9EE172CB40C0","","2024-11-08 19:02:36.187921","[""https://departamento.mercadolibre.cl/MLC-1517547171-departamento-en-tercer-piso-cuenta-con-3d-1b-y-box-_JM""]","","3","3","1"
"MLC2693377752","200","","3","23.1578947368421","","","","1","Amr Propiedades Arrienda Casa Ciudad Del Sol 3 D Estar 3b 2e","Avenida Ejército Libertador","Usado","true","3","120","-33.6186004","-70.5907037","0101000020E61000001448E416CEA551C071A5434C2ECF40C0","","2024-11-08 19:02:37.002772","[""https://casa.mercadolibre.cl/MLC-2693377752-amr-propiedades-arrienda-casa-ciudad-del-sol-3-d-estar-3b-2e-_JM""]","52","3","3","1"
"MLC2761203944","246","","4","5000","","","","1","Casa Esquina, Sector Las Perdices, Puente Alto","Las Perdices","Usado","false","2","79","-33.5602267","-70.5395414","0101000020E6100000A3F5A6D887A251C04A6C2D82B5C740C0","","2024-11-08 19:02:37.800146","[""https://casa.mercadolibre.cl/MLC-2761203944-casa-esquina-sector-las-perdices-puente-alto-_JM""]","25","3","3","1"
"MLC2761100920","189","","8","3157.89473684211","","","","1","Casa Amplia, Ideal Para 2 Familias, Puente Alto","Domingo Tocornal & Avenida Ejército Libertador","Usado","false","2","140","-33.6049117","-70.5929974","0101000020E61000003CE75DABF3A551C0E03B20BF6DCD40C0","","2024-11-08 19:02:38.535635","[""https://casa.mercadolibre.cl/MLC-2761100920-casa-amplia-ideal-para-2-familias-puente-alto-_JM""]","","3","3","1"
"MLC2758432614","160","","3","4736","","","","1","Casa Sector Faldeos De La Viña, Puente Alto","Santa Rosa del Peral - Camino Sta Rosa del Peral 4662, 8.1711e+06 - 8.1714e+06 Puente Alto, Región Metropolitana, Chile","Usado","false","2","86","-33.5563348","-70.5477346","0101000020E6100000CF786C150EA351C038D08DFA35C740C0","","2024-11-08 19:02:39.331339","[""https://casa.mercadolibre.cl/MLC-2758432614-casa-sector-faldeos-de-la-vina-puente-alto-_JM""]","25","3","3","1"
"MLC1538140179","115","","3","3684.21052631579","","","","1","Casa Completamente Remodelada En Puente Alto ","Volcán Huelemolle 900 - 1200","Usado","false","2","77","-33.5925578","-70.5430421","0101000020E610000079F6A633C1A251C0AFFE19EFD8CB40C0","","2024-11-08 19:02:40.166812","[""https://casa.mercadolibre.cl/MLC-1538140179-casa-completamente-remodelada-en-puente-alto-_JM""]","26","3","3","1"
"MLC2761139542","98","","3","2184.21052631579","","","","1","Casa 2 Pisos, Sector Don Ramon, Puente Alto","Canela Alta 2943","Usado","false","2","56","-33.5814026","-70.5522047","0101000020E6100000A4CC615257A351C0996780666BCA40C0","","2024-11-08 19:02:40.965693","[""https://casa.mercadolibre.cl/MLC-2761139542-casa-2-pisos-sector-don-ramon-puente-alto-_JM""]","24","3","3","1"
"MLC1543247689","71","","2","1921.05263157895","","","","1","Casa 2 Pisos, Sector Don Ramón, Puente Alto","Avenida Las Nieves Oriente & Luis Matte Larraín","Usado","false","2","54","-33.5845399","-70.5576131","0101000020E61000008E14DBEEAFA351C083DA1434D2CA40C0","","2024-11-08 19:02:41.718705","[""https://casa.mercadolibre.cl/MLC-1543247689-casa-2-pisos-sector-don-ramon-puente-alto-_JM""]","","3","3","1"
"MLC2737640656","154","","4","5600","","","","1","Excelente Casa - Calle Alto Pinar - Metro Las Mercedes","Alto Pinar 1220, Puente Alto, Chile","Usado","false","3","127","-33.5994471","-70.5818817","0101000020E610000004E9BD8C3DA551C04D17BDAEBACC40C0","","2024-11-08 19:02:42.511646","[""https://casa.mercadolibre.cl/MLC-2737640656-excelente-casa-calle-alto-pinar-metro-las-mercedes-_JM""]","13","3","3","1"
"MLC1536515555","304","","4","3223.68421052632","","","","1","Excelente Amplia Casa Pobl. Papelera - Puente Alto","Pje. Quince 0748","Usado","false","2","119","-33.6174484","-70.5659898","0101000020E6100000A737482D39A451C0D87B968C08CF40C0","","2024-11-08 19:02:43.405374","[""https://casa.mercadolibre.cl/MLC-1536515555-excelente-amplia-casa-pobl-papelera-puente-alto-_JM""]","35","3","3","1"
"MLC1544633385","96","","3","3394.73684210526","","","","1","Se Vende Hermosa Casa 3d 2b Espacio Para 4 Autos Pte.alto ","Av. Jorge Ross Ossa 1600","Usado","false","2","55","-33.5973044","-70.5976509","0101000020E6100000337B8FE93FA651C0E2E0777874CC40C0","","2024-11-08 19:02:44.183826","[""https://casa.mercadolibre.cl/MLC-1544633385-se-vende-hermosa-casa-3d-2b-espacio-para-4-autos-ptealto-_JM""]","","3","3","1"
"MLC1536505139","72","","3","1834.21052631579","","","","1","Excelente Casa Psje. Mallarauco - Luis Matte Larraín","Mallarauco 2761, Puente Alto, Chile","Usado","false","1","60","-33.5854362","-70.5609107","0101000020E61000007E1EFEF5E5A351C07F72CA92EFCA40C0","","2024-11-08 19:02:45.026593","[""https://casa.mercadolibre.cl/MLC-1536505139-excelente-casa-psje-mallarauco-luis-matte-larrain-_JM""]","27","3","3","1"
"MLC1544043379","80","","3","10.5263157894737","","","","1","Arriendo Casa , Cerca Plaza Pte Alto","Julio Fontecha 572","Usado","true","1","60","-33.6042782","-70.5586116","0101000020E6100000A44ADE4AC0A351C0C757F1FC58CD40C0","","2024-11-08 19:02:45.831542","[""https://casa.mercadolibre.cl/MLC-1544043379-arriendo-casa-cerca-plaza-pte-alto-_JM""]","35","3","3","1"
"MLC1518712963","704","","3","13000","","","","1","Excelente Propiedad Aptitud Comercial - Calle Teniente Bello","Calle Teniente Bello 144, Cordillera, Puente Alto, Chile","Usado","false","2","704","-33.605449","-70.5791895","0101000020E6100000F12BD67011A551C0AD32535A7FCD40C0","","2024-11-08 19:02:46.637762","[""https://casa.mercadolibre.cl/MLC-1518712963-excelente-propiedad-aptitud-comercial-calle-teniente-bello-_JM""]","13","3","3","1"
"MLC2728379858","78","","4","2421.05263157895","","","","0","Excelente Departamento Metro Las Mercedes - Puente Alto ","Domingo Tocornal 091","Usado","false","1","78","-33.6031018","-70.5760503","0101000020E610000077D61302DEA451C05194957032CD40C0","","2024-11-08 19:02:47.425418","[""https://departamento.mercadolibre.cl/MLC-2728379858-excelente-departamento-metro-las-mercedes-puente-alto-_JM""]","13","3","3","1"
"MLC2747947484","150","","2","2200","","","","1","Casa De Un Piso En Pasaje Tranquilo","El Partidor 1500, Puente Alto, Chile","Usado","false","1","60","-33.6068174","-70.5973701","0101000020E6100000EEC6CC4F3BA651C066D24B31ACCD40C0","","2024-11-08 19:02:48.295754","[""https://casa.mercadolibre.cl/MLC-2747947484-casa-de-un-piso-en-pasaje-tranquilo-_JM""]","52","3","3","1"
"MLC2719504738","130","","3","11.8421052631579","","","","1","Casa Esquina En Arriendo 3d-1b Puente Alto","Alberto Magno 2400 - 2700","Usado","true","1","130","-33.5789474","-70.5541878","0101000020E6100000E6351BD077A351C0578DCAF21ACA40C0","","2024-11-08 19:02:49.113871","[""https://casa.mercadolibre.cl/MLC-2719504738-casa-esquina-en-arriendo-3d-1b-puente-alto-_JM""]","24","3","3","1"
"MLC2725547282","134","","3","3026.31578947368","","","","1","Casa Ideal, Tranquilidad Y Comodidad","AVDA MEXICO, 2153","Usado","false","2","134","-33.5905676","-70.5610359","0101000020E610000071981E03E8A351C0E20918B897CB40C0","","2024-11-08 19:02:49.945849","[""https://casa.mercadolibre.cl/MLC-2725547282-casa-ideal-tranquilidad-y-comodidad-_JM""]","27","3","3","1"
"MLC2681428400","160","","2","11.5789473684211","","","","1","Arriendo Casa Condominio La Capilla 5  Puente Alto","Punta Harvey 3830","Usado","true","1","160","-33.5754833","-70.6010858","0101000020E6100000C345933078A651C07472D06FA9C940C0","","2024-11-08 19:02:50.747886","[""https://casa.mercadolibre.cl/MLC-2681428400-arriendo-casa-condominio-la-capilla-5-puente-alto-_JM""]","12","3","3","1"
"MLC2706616442","233","","3","5920","","","","1","Oportunidad De Ser Propietario De Una Casa Con Gran Terreno.","Mapulemu 6900 - 7200, Puente Alto, Chile","Usado","false","2","79","-33.5769877","-70.5400972","0101000020E610000051AAD8F390A251C0DDD8A2BBDAC940C0","","2024-11-08 19:02:51.558682","[""https://casa.mercadolibre.cl/MLC-2706616442-oportunidad-de-ser-propietario-de-una-casa-con-gran-terreno-_JM""]","24","3","3","1"
"MLC1501996595","102","","3","4210.52631578947","","","","1","Casa Ciudad Del Este - 3d + 3b - Puente Alto","Sendero La Huella Oriente 3900 - 4200, Puente Alto, Chile","Usado","false","3","66","-33.5677057","-70.5501678","0101000020E6100000FC1301F335A351C05BA09394AAC840C0","","2024-11-08 19:02:52.398479","[""https://casa.mercadolibre.cl/MLC-1501996595-casa-ciudad-del-este-3d-3b-puente-alto-_JM""]","24","3","3","1"
"MLC2554466578","135","","3","3263.15789473684","","","","1","Casa Brisas Del Maipo Puente Alto Precio Bajo Valor Mercado","pasaje Villa franca poniente  276","","false","2","135","-33.6065148","-70.5409681","0101000020E6100000796BAA389FA251C01E45E746A2CD40C0","","2024-11-08 19:02:53.712688","[""https://casa.mercadolibre.cl/MLC-2554466578-casa-brisas-del-maipo-puente-alto-precio-bajo-valor-mercado-_JM""]","28","3","3","1"
"MLC1533617133","187","","3","3520","","","","1","Cercano Mall Tobalaba Hacia El Oriente ","Avenida Gabriela Oriente, Puente Alto, Chile","Usado","false","1","67","-33.5761476","-70.5656621","0101000020E61000008C05CFCE33A451C09ED55D34BFC940C0","","2024-11-08 19:02:54.597867","[""https://casa.mercadolibre.cl/MLC-1533617133-cercano-mall-tobalaba-hacia-el-oriente-_JM""]","29","3","3","1"
"MLC2650905328","220","","3","7500","","","","1","Casa Venta De 3 Dorm, 3baños, 2 Estacionamiento, Puente Alto","Salvador Allende 0515","Usado","false","3","192","-33.6201742","-70.5844763","0101000020E61000006072480F68A551C0576941DE61CF40C0","","2024-11-08 19:02:55.416707","[""https://casa.mercadolibre.cl/MLC-2650905328-casa-venta-de-3-dorm-3banos-2-estacionamiento-puente-alto-_JM""]","35","3","3","1"
